"","타임스탬프","당신의성별은","당신의연령대는","이성교제의경험의유무","현재이성교제를하고있습니까","지금까지교제한이성은몇명입니까","a1","a2","a3","역a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","역a12","a13","b14","b15","b16","b17","b18","b19","b20","역b20","b21","d22","d23","d24","d25","d26","d27","d28","e29","e30","e31","역e31","e32","e33","e34","e35","L1","L2","L3","L4","E1","E2","E3","E4","S1","S2","S3","S4","역역a3","역역a12","역역b20","역역e31","a","b","d","e","유희적태도","루두스","에로스","스토르게"
"161","2014. 11. 28 오후 2:45:11","남자","20대",1,"N","3",3,2,3,3,3,1,1,1,3,1,1,1,1,5,1,1,3,2,3,3,2,1,4,2,3,2,2,3,2,2,4,4,2,4,2,2,2,1,2,2,1,3,1,1,1,1,1,1,1,3,1,3,1,2,4,1.54545454545455,1.75,2,2.4,1.83333333333333,1.75,1,1.5
"162","2014. 11. 28 오후 2:46:01","남자","20대",1,"N","4",1,1,1,5,4,1,1,1,1,1,1,1,1,5,1,4,2,3,1,4,2,2,3,1,4,2,1,2,1,1,2,1,1,1,5,1,1,2,1,4,1,3,1,2,1,3,1,5,2,4,5,1,1,3,1,1.27272727272727,2.5,1.25,1,1.41666666666667,2.25,1.75,4
"163","2014. 11. 28 오후 2:46:57","남자","20대",1,"Y","10명이상",5,5,4,4,5,3,3,4,3,3,5,3,4,2,4,5,5,4,2,3,4,4,2,4,4,4,4,4,3,4,4,4,4,3,3,4,3,2,3,4,4,2,3,4,2,3,2,2,2,3,3,2,4,4,3,3.72727272727273,4.25,3.75,3.6,3.79166666666667,3.25,2.75,2.5
"164","2014. 11. 28 오후 2:51:36","남자","20대",1,"N","3",2,1,2,5,2,1,1,1,3,1,1,1,1,5,1,2,1,1,1,2,1,1,3,2,4,3,2,2,1,1,1,1,1,1,5,1,1,1,2,3,1,3,3,3,3,3,3,3,3,2,2,1,1,3,1,1.36363636363636,1.5,1.75,1.2,1.41666666666667,2.5,3,2.5
"165","2014. 11. 28 오후 2:58:51","남자","20대",0,"N","0",3,2,4,3,2,2,5,4,3,4,4,5,4,2,4,2,4,3,2,3,4,3,3,3,2,2,2,4,2,3,5,3,3,1,5,1,1,1,1,3,1,3,1,3,3,5,3,4,3,4,4,3,4,3,1,3.72727272727273,3,2.25,1.8,2.95833333333333,2,3.5,3.75
"166","2014. 11. 28 오후 2:59:14","남자","20대",0,"N","0",3,2,4,3,2,2,5,4,3,4,4,5,4,2,4,2,4,3,2,3,4,3,3,3,2,2,2,4,2,3,5,3,3,1,5,1,1,1,1,3,1,3,1,3,3,5,3,4,3,4,4,3,4,3,1,3.72727272727273,3,2.25,1.8,2.95833333333333,2,3.5,3.75
"167","2014. 11. 28 오후 2:59:44","남자","20대",1,"N","3",2,2,2,3,3,2,2,3,2,2,3,2,3,3,3,2,3,2,2,2,3,2,4,2,2,2,2,4,2,2,4,3,4,4,2,2,2,2,2,4,1,2,2,4,3,4,3,2,2,3,2,3,3,2,4,2.45454545454545,2.25,2,2.6,2.375,2.25,3.5,2.25
"168","2014. 11. 28 오후 3:00:32","남자","20대",0,"N","0",3,3,1,5,5,3,1,3,2,2,2,2,4,2,2,5,4,2,2,2,4,2,3,3,3,5,5,5,5,3,4,5,2,4,2,3,2,1,4,4,1,3,3,3,3,3,3,3,3,5,3,1,4,3,4,2.45454545454545,3.5,4.5,3.2,3.125,2.75,3,3.5
"169","2014. 11. 28 오후 3:00:34","남자","20대",1,"Y","14",1,2,2,4,4,3,4,5,4,4,5,3,4,1,4,4,3,5,2,4,1,1,4,4,5,5,2,1,1,5,1,4,5,3,4,2,3,4,3,4,5,4,3,4,1,4,1,1,1,3,1,2,5,2,2,3.81818181818182,3.5,3.25,3.4,3.58333333333333,4,2.5,1.5
"170","2014. 11. 28 오후 3:20:57","남자","20대",1,"Y","24?",1,1,1,4,5,3,3,5,2,4,4,3,5,2,4,2,2,2,2,2,4,4,5,4,2,4,3,5,1,4,5,4,3,4,2,3,3,1,2,3,1,1,2,4,1,4,2,3,1,3,3,2,4,1,4,3.54545454545455,3,3,3,3.25,1.75,2.75,2.5
"171","2014. 11. 28 오후 3:21:22","남자","10대",1,"N","6",3,1,2,4,3,2,1,2,2,2,2,2,1,3,3,3,2,2,1,2,3,2,3,2,3,2,2,3,3,3,3,2,3,2,3,4,2,3,3,4,1,2,2,3,3,4,3,3,4,3,3,2,3,3,3,2,2.5,2.5,2.8,2.33333333333333,2.25,3.25,3.25
"172","2014. 11. 28 오후 3:45:44","남자","20대",1,"Y","6명",1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,5,1,4,1,1,1,4,3,2,4,2,1,4,2,3,3,3,3,3,3,3,2.6,2.91666666666667,1.75,3.25,2.25
"173","2014. 11. 28 오후 4:19:52","남자","20대",1,"N","3",2,2,3,2,4,1,3,1,2,1,1,3,1,4,1,3,3,1,2,1,3,3,4,2,4,2,3,3,2,3,3,3,3,4,4,3,4,2,2,4,2,5,3,5,4,4,4,2,3,1,3,4,2,2,2,1.90909090909091,2.25,2.5,3,2.29166666666667,3.5,4.25,2.25
